                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                  1.208,                 1.0574,                 1.3444,                 1.2557,                 1.1783,                 1.3216,                0.71818,                0.57195,                0.59539,                0.31956,                 1.5315,                   1.28,                 1.6883,                 1.5393,                 1.3994,                 1.6716,               0.002674,               0.002674,               0.002674
                     77,                 1.1866,                  1.038,                 1.3422,                 1.2275,                 1.1365,                 1.3218,                0.69975,                0.57955,                0.59449,                0.33267,                 1.5101,                 1.2703,                 1.6915,                 1.5401,                  1.397,                 1.6616,               0.002575,               0.002575,               0.002575
                     78,                 1.1987,                 1.0463,                  1.345,                 1.2483,                 1.1665,                 1.3203,                0.73971,                0.51584,                 0.5615,                0.30741,                 1.5822,                 1.4382,                 1.7836,                 1.5786,                 1.5737,                  1.736,               0.002476,               0.002476,               0.002476
                     79,                 1.1749,                 1.0527,                 1.3351,                 1.2272,                 1.1584,                 1.3134,                0.74649,                0.55466,                0.61121,                0.34138,                  1.524,                 1.2753,                 1.7033,                 1.5406,                 1.3642,                 1.6702,               0.002377,               0.002377,               0.002377
                     80,                 1.2018,                 1.0655,                 1.3341,                 1.2612,                 1.1679,                 1.3198,                0.79771,                0.36561,                0.46852,                0.23466,                 1.9038,                 2.0143,                 2.1069,                  1.884,                  2.158,                 2.0237,               0.002278,               0.002278,               0.002278
                     81,                 1.1754,                 1.0356,                 1.3383,                 1.2367,                 1.1314,                 1.3184,                0.79688,                0.44055,                0.53941,                 0.2876,                 1.6305,                 1.5478,                 1.8277,                 1.6748,                 1.7119,                 1.7826,               0.002179,               0.002179,               0.002179
                     82,                   1.15,                 1.0035,                 1.3182,                 1.2057,                  1.086,                 1.2963,                 0.7336,                0.54744,                 0.5903,                0.32471,                 1.5513,                  1.329,                 1.7452,                 1.5555,                  1.475,                  1.681,                0.00208,                0.00208,                0.00208
                     83,                 1.1875,                 1.0061,                 1.3329,                 1.2449,                 1.0954,                 1.3181,                0.75057,                0.51457,                0.55203,                0.29121,                 1.6951,                 1.5138,                  1.841,                 1.7313,                   1.63,                 1.8237,               0.001981,               0.001981,               0.001981
                     84,                  1.176,                 1.0029,                 1.3189,                 1.2263,                 1.0877,                 1.2966,                0.77501,                0.54885,                0.59663,                0.34274,                 1.5567,                 1.2606,                 1.7297,                 1.5615,                 1.3793,                 1.6798,               0.001882,               0.001882,               0.001882
                     85,                 1.1643,                 1.0305,                 1.3213,                 1.2149,                 1.1271,                 1.3043,                0.75164,                0.50399,                0.57524,                0.31707,                 1.6345,                 1.4307,                 1.7947,                 1.6188,                 1.5811,                 1.7192,               0.001783,               0.001783,               0.001783
                     86,                  1.149,                 0.9923,                  1.319,                 1.1956,                 1.0981,                 1.2983,                0.77748,                0.50796,                0.59061,                0.31531,                  1.634,                  1.371,                 1.8231,                 1.6219,                 1.4957,                 1.7702,               0.001684,               0.001684,               0.001684
